node_count,ping_interval,distance_cm,local_sent_packets,remote_received_packets,location
2,1300,10000,15,16,city
2,1300,10000,15,16,city
2,1300,10000,15,12,city
2,1300,13000,15,10,city
2,1300,13000,15,16,city
2,1300,13000,15,8,city
2,1300,13000,15,15,city
2,1300,13000,15,15,city
2,1300,16000,15,14,city
2,1300,16000,15,14,city
2,1300,16000,15,12,city
2,1300,16000,15,16,city
2,1300,16000,15,14,city
2,1300,21000,15,12,city
2,1300,21000,15,7,city
2,1300,21000,15,14,city
2,1300,21000,15,12,city
2,1300,21000,15,12,city
2,2100,150,9,10,city
2,2100,150,9,10,city
2,2100,150,9,10,city
2,2100,150,9,10,city
2,2100,150,9,10,city
2,2100,300,9,10,city
2,2100,300,9,10,city
2,2100,300,9,10,city
2,2100,300,9,10,city
2,2100,300,9,10,city
2,2100,500,9,10,city
2,2100,500,9,9,city
2,2100,500,9,10,city
2,2100,500,9,8,city
2,2100,500,9,9,city
2,2100,800,9,7,city
2,2100,800,9,10,city
2,2100,800,9,10,city
2,2100,800,9,9,city
2,2100,800,9,7,city
2,2100,10000,9,10,city
2,2100,10000,9,10,city
2,2100,10000,9,3,city
2,2100,10000,9,7,city
2,2100,10000,9,7,city
2,2100,13000,9,10,city
2,2100,13000,9,5,city
2,2100,13000,9,6,city
